Name,star,num,type,address,image,Address,Local_Address,Internet_Address,Call_Number,Rating,Sun,Mon,Tues,Wedn,Thur,Fri,Sat,keyword
간사이 공항,40.0,44.0,관광센터,"1 Senshukukonaka, Tajiri-cho, Sennan-gun, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/15/4b/d3/79/outlook.jpg,"일본 〒549-0011 오사카부 Sennan District, 다지리조 센슈쿠코나카",〒549-0011 大阪府泉南郡田尻町泉州空港中,,,4.2,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,
교세라 돔 오사카,40.0,323.0,스포츠 컴플렉스,"Naka 2-1 3-Chome Chiyozaki, Nishi-Ku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/08/93/b4/dc/caption.jpg,"3 Chome-中２−１ Chiyozaki, Nishi Ward, Osaka, 550-0023 일본",〒550-0023 大阪府大阪市西区千代崎３丁目中２−１,http://www.kyoceradome-osaka.jp/,+81 6-6586-0106,4.1,오전 11:00~오후 7:00,휴무일,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,"['음식', '경기장', '음식점', '쇼핑', '게임', '야구', '콘서트', '사진', '옛날']"
구로몬시장,40.0,3234.0,즐길거리 & 랜드마크,"2-4-1, Nippombashi, Chuo, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/0d/bf/ef/a1/vista-de-uma-loja.jpg,"2 Chome Nipponbashi, Chuo Ward, Osaka, 542-0073 일본",〒542-0073 大阪府大阪市中央区日本橋２丁目,kuromon.com,없음,4.1,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,"['배', '음식', '쇼핑', '백화점', '기념품', '사진', '드럭스토어', '시장', '먹거리', '골목', '전통']"
국립국제미술관,35.0,200.0,즐길거리 & 랜드마크,"4-2-55 Nakanoshima, Kita-ku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/11/88/a8/76/photo0jpg.jpg,"4 Chome-2-55 Nakanoshima, Kita Ward, Osaka, 530-0005 일본",〒530-0005 大阪府大阪市北区中之島４丁目２−55,https://www.nmao.go.jp/,+81 6-6447-4680,4.1,오전 10:00~오후 5:00,휴무일,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,"['카페', '그림', '전시회', '작품', '사진', '과학관', '박물관', '무료']"
국립문락극장,45.0,164.0,시어터,"1-12-10, Nippombashi, Chuo, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/16/13/3c/52/13.jpg,"1 Chome-12-10 Nipponbashi, Chuo Ward, Osaka, 542-0073 일본",〒542-0073 大阪府大阪市中央区日本橋１丁目１２−10,http://www.ntj.jac.go.jp/bunraku.html,+81 6-6212-2531,4.1,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,"['무료', '극장', '체험', '인형', '꽃', '전통', '음식', '사진', '역사', '공연', '박물관', '옛날']"
그랜드 프론트 오사카,40.0,530.0,쇼핑몰,"Ofukacho, Kita-Ku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/08/29/21/89/caption.jpg,"4-20 Ofukacho, Kita Ward, Osaka, 530-0011 일본",〒530-0011 大阪府大阪市北区大深町４−20,http://www.grandfront-osaka.jp/,+81 6-6372-6300,4.0,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,"['카페', '산책', '체험', '음식', '쇼핑몰', '음식점', '백화점', '야경', '광장', '휴식', '사진', '쇼핑', '옷', '무료']"
기시와다성,40.0,113.0,성,"9-1 Kishikicho, 키시와다, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/17/63/b0/d4/dsc-0263-largejpg.jpg,"9-1 Kishikicho, Kishiwada, Osaka 596-0073 일본",〒596-0073 大阪府岸和田市岸城町９−1,http://www.city.kishiwada.osaka.jp/soshiki/36/kishiwadajyo.html,+81 72-431-3251,4.0,오전 10:00~오후 8:30,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 8:30,오전 10:00~오후 8:30,"['무료', '산책', '공원', '성', '신사', '역사', '사진', '산', '전망대', '박물관', '옛날']"
나가이 공원,40.0,235.0,가든,"Nagaikoen, Higashisumiyoshiku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/09/72/83/7f/caption.jpg,"1-1 Nagaikoen, Higashisumiyoshi Ward, Osaka, 546-0034 일본",〒546-0034 大阪府大阪市東住吉区長居公園１−1,http://www.nagai-park.jp/,+81 6-6694-9007,4.1,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['놀이기구', '카페', '무료', '어린이', '축구', '산책', '공원', '꽃', '식물원', '경기장', '수영장', '광장', '휴식', '콘서트', '자전거', '박물관', '옛날']"
나가이 얀마스타디움,40.0,104.0,스포츠 컴플렉스,"1-1 Nagaikoen Higashisumiyoshiku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/0a/bb/de/c8/vista-desde-la-tribuna.jpg,"1-1 Nagaikoen, Higashisumiyoshi Ward, Osaka, 546-0034 일본",〒546-0034 大阪府大阪市東住吉区長居公園１−1,https://www.nagaipark.com/stadium/,+81 6-6691-2500,4.0,오전 9:00~오후 9:00,휴무일,오전 9:00~오후 9:00,오전 9:00~오후 9:00,오전 9:00~오후 9:00,오전 9:00~오후 9:00,오전 9:00~오후 9:00,"['축구', '산책', '공원', '식물원', '음식', '경기장', '게임', '콘서트']"
나카노시마 장미 정원,40.0,543.0,공원,"1 Nakanoshima, Kita-Ku, 오사카, 오사카",https://media-cdn.tripadvisor.com/media/photo-s/16/4b/60/8c/caption.jpg,"1 Chome-1 Nakanoshima, Kita Ward, Osaka, 530-0005 일본",〒530-0005 大阪府大阪市北区中之島１丁目１,https://city-osaka.net/nakanoshimakoen/,+81 6-6312-8121,4.1,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['카페', '산책', '공원', '꽃', '음식점', '강', '광장', '휴식', '사진', '역사', '무료']"
