출발지,도착지,소요시간(분)
도톤보리,오사카 성,31
도톤보리,아키바 카트 오사카,25
도톤보리,오사카 역사 박물관,19
도톤보리,우메다 스카이빌딩,25
도톤보리,에비스 다리,0
도톤보리,하루카스 300,15
도톤보리,유니버셜 스튜디오 재팬,24
도톤보리,신사이바시스지 상점가,0
도톤보리,아베노 하루카스,14
도톤보리,헵파이브 대관람차,19
도톤보리,오사카 시립 주택 박물관,20
도톤보리,덴포잔 대관람차,27
도톤보리,구로몬시장,0
도톤보리,신세카이 혼도리 상점가,14
도톤보리,쓰텐카쿠,13
도톤보리,덴덴타운 닛폰바시전기가,0
도톤보리,신우메다 시티,26
도톤보리,도톤보리 글리코 사인,0
도톤보리,톤보리 리버 크류즈,0
도톤보리,스파월드,12
도톤보리,그랜드 프론트 오사카,17
도톤보리,오사카 스테이션 시티,15
도톤보리,해유관,30
도톤보리,덴포잔 하버 빌리지,27
도톤보리,오사카 이쿠노 코리아타운,23
도톤보리,덴노지동물원,21
도톤보리,모마 사쿠라노미야 공원,30
도톤보리,조폐박물관,28
도톤보리,시텐노지,21
도톤보리,Hozenji Yokocho,0
도톤보리,더 심포니홀,32
도톤보리,오사카 텐만구 신사,17
도톤보리,천연 노천온천 스파 스미노에,32
도톤보리,스미요시 타이샤,21
도톤보리,텐로쿠 상점가 진흥조합 사무소,20
도톤보리,일본민가취락박물관,45
도톤보리,난바 시티 본관,0
도톤보리,나가이 공원,20
도톤보리,아메리카무라,0
도톤보리,키즈프라자 오사카,18
도톤보리,난바 파크스,0
도톤보리,다이마루 백화점 신사이바시점,0
도톤보리,나카노시마 장미 정원,15
도톤보리,호젠지,0
도톤보리,오사카 부 사키시마청사 전망대,35
도톤보리,센니치마에 도구야스지 상점가,0
도톤보리,오사카 컵라면박물관,46
도톤보리,니시노마루 정원,30
도톤보리,한큐백화점,15
도톤보리,돈키호테 도톤보리점,0
도톤보리,교세라 돔 오사카,13
도톤보리,타카무라 와인 & 커피 로스터스,22
도톤보리,ABENO HARUKAS Art Museum,17
도톤보리,레고랜드 디스커버리센터 오사카,31
도톤보리,한큐 3번가,17
도톤보리,오사카 수상버스 아쿠아라이너,12
도톤보리,Takimikoji,26
도톤보리,천연온천 나니와노유,24
도톤보리,요시모토 난바그랜드카게쓰 극장,0
도톤보리,난바 워크,0
도톤보리,반파쿠기넨코엔 (엑스포’70 기념공원),57
도톤보리,나가이 얀마스타디움,25
도톤보리,간사이 공항,46
도톤보리,린쿠프리미엄아웃렛,48
도톤보리,Hep Five,17
도톤보리,기시와다성,42
도톤보리,국립국제미술관,20
도톤보리,다카시마야 오사카점,0
도톤보리,우쓰보 공원,15
도톤보리,국립문락극장,0
도톤보리,우메다 공중정원,25
도톤보리,오사카 성 공원,30
도톤보리,오사카 성 천수각,32
도톤보리,덴시바,19
도톤보리,오사카시립 나가이 식물원,28
도톤보리,소라니와 온천 오사카베이타워,25
도톤보리,오사카 과학기술관,16
도톤보리,태양의 탑,58
도톤보리,오사카시 중앙공회당,16
도톤보리,Diamor 오사카(지하),18
도톤보리,오사카 국제공항,32
도톤보리,메이드리밍 오사카 난바점,0
오사카 성,도톤보리,34
오사카 성,아키바 카트 오사카,35
오사카 성,오사카 역사 박물관,0
오사카 성,우메다 스카이빌딩,41
오사카 성,에비스 다리,36
오사카 성,하루카스 300,31
오사카 성,유니버셜 스튜디오 재팬,42
오사카 성,신사이바시스지 상점가,32
오사카 성,아베노 하루카스,27
오사카 성,헵파이브 대관람차,32
오사카 성,오사카 시립 주택 박물관,31
오사카 성,덴포잔 대관람차,37
오사카 성,구로몬시장,28
오사카 성,신세카이 혼도리 상점가,35
오사카 성,쓰텐카쿠,34
오사카 성,덴덴타운 닛폰바시전기가,34
오사카 성,신우메다 시티,42
오사카 성,도톤보리 글리코 사인,32
오사카 성,톤보리 리버 크류즈,33
오사카 성,스파월드,33
오사카 성,그랜드 프론트 오사카,32
오사카 성,오사카 스테이션 시티,28
오사카 성,해유관,43
오사카 성,덴포잔 하버 빌리지,42
오사카 성,오사카 이쿠노 코리아타운,40
오사카 성,덴노지동물원,34
오사카 성,모마 사쿠라노미야 공원,28
오사카 성,조폐박물관,0
오사카 성,시텐노지,28
오사카 성,Hozenji Yokocho,36
오사카 성,더 심포니홀,40
오사카 성,오사카 텐만구 신사,27
오사카 성,천연 노천온천 스파 스미노에,57
오사카 성,스미요시 타이샤,47
