출발지,도착지,소요시간(분)
도쿄 타워,메이지 신궁,39.0
도쿄 타워,메이지 신궁 외원,22.0
도쿄 타워,도쿄 스카이트리,33.0
도쿄 타워,도쿄 디즈니랜드,42.0
도쿄 타워,센소지사,34.0
도쿄 타워,고쿄 히가시 교엔,19.0
도쿄 타워,도쿄 디즈니씨,59.0
도쿄 타워,도쿄도청 전망대,34.0
도쿄 타워,에도도쿄건축정원,77.0
도쿄 타워,센소지 가미나리몬,34.0
도쿄 타워,도쿄 국립신미술관,19.0
도쿄 타워,시부야 스카이,27.0
도쿄 타워,야나카긴자,31.0
도쿄 타워,리쿠기엔,37.0
도쿄 타워,롯폰기 힐스,19.0
도쿄 타워,레인보우 브리지,0.0
도쿄 타워,나카미세도리,35.0
도쿄 타워,간다 신사 (간다 묘진),29.0
도쿄 타워,스미다 공원,34.0
도쿄 타워,오다이바 해변공원,38.0
도쿄 타워,모리 타워,18.0
도쿄 타워,도쿄역,16.0
도쿄 타워,도쿄돔,24.0
도쿄 타워,도쿄 돔시티,22.0
도쿄 타워,호피 거리,40.0
도쿄 타워,아사쿠사 신사,40.0
도쿄 타워,도쿄도 현대미술관,41.0
도쿄 타워,긴자 식스,20.0
도쿄 타워,도쿄 대학,34.0
도쿄 타워,도쿄 빅사이트,44.0
도쿄 타워,도쿄 국립 박물관,34.0
도쿄 타워,조죠지,0.0
도쿄 타워,시바 공원,0.0
도쿄 타워,우에노 공원,28.0
도쿄 타워,Shibuya Scramble Crossing,26.0
도쿄 타워,신주쿠 교 엔,28.0
도쿄 타워,도쿄 조이 폴리스,40.0
도쿄 타워,킷데 마루노우치,18.0
도쿄 타워,오모테산도 힐즈,27.0
도쿄 타워,네즈 미술관,26.0
도쿄 타워,아메요코 쇼핑가,36.0
도쿄 타워,모리 미술관,21.0
도쿄 타워,Tokyo Station Gallery,24.0
도쿄 타워,Street Kart Tokyo Bay,48.0
도쿄 타워,쓰키시마 몬자거리,28.0
도쿄 타워,사쿠라 포토 스튜디오,35.0
도쿄 타워,하네다국제공항,39.0
도쿄 타워,도쿄 소라마치,39.0
도쿄 타워,미쓰비시1호관미술관,16.0
도쿄 타워,도쿄도 미술관,36.0
도쿄 타워,다이마루 백화점 도쿄점,26.0
도쿄 타워,미타카의 숲 지브리 미술관,63.0
도쿄 타워,도쿄 국립 근대 미술관,26.0
도쿄 타워,빅카메라 유라쿠초점,16.0
도쿄 타워,네즈신사,33.0
도쿄 타워,센가쿠 절,22.0
도쿄 타워,쓰키지 수산시장,24.0
도쿄 타워,스파 라쿠아,26.0
도쿄 타워,도쿄 미드타운,19.0
도쿄 타워,국립 서양 미술관,33.0
도쿄 타워,도호 시네마즈 신주쿠,35.0
도쿄 타워,신주쿠 골든 거리,36.0
도쿄 타워,하마리큐 은사정원,27.0
도쿄 타워,Shibuya Center-Street,27.0
도쿄 타워,시나가와 수족관,43.0
도쿄 타워,맥셀 아쿠아 파크 시나가와,26.0
도쿄 타워,오다이바 자유의 여신상,37.0
도쿄 타워,도쿄만 아쿠아라인 우미호타루,93.0
도쿄 타워,구 이와사키 저택 정원,26.0
메이지 신궁,도쿄 타워,39.0
메이지 신궁,메이지 신궁 외원,22.0
메이지 신궁,도쿄 스카이트리,48.0
메이지 신궁,도쿄 디즈니랜드,53.0
메이지 신궁,센소지사,49.0
메이지 신궁,고쿄 히가시 교엔,29.0
메이지 신궁,도쿄 디즈니씨,73.0
메이지 신궁,도쿄도청 전망대,17.0
메이지 신궁,에도도쿄건축정원,61.0
메이지 신궁,센소지 가미나리몬,47.0
메이지 신궁,도쿄 국립신미술관,16.0
메이지 신궁,시부야 스카이,13.0
메이지 신궁,야나카긴자,40.0
메이지 신궁,리쿠기엔,41.0
메이지 신궁,롯폰기 힐스,24.0
메이지 신궁,레인보우 브리지,66.0
메이지 신궁,나카미세도리,48.0
메이지 신궁,간다 신사 (간다 묘진),33.0
메이지 신궁,스미다 공원,47.0
메이지 신궁,오다이바 해변공원,53.0
메이지 신궁,모리 타워,26.0
