Name,visit,candidate,clicked,suggested
도쿄 타워,0,0,0,0
메이지 신궁,0,0,0,0
메이지 신궁 외원,0,0,0,0
도쿄 스카이트리,0,0,0,0
도쿄 디즈니랜드,0,0,0,0
센소지,0,0,0,0
고쿄 히가시 교엔,0,0,0,0
도쿄도청 전망대,0,0,0,0
에도도쿄건축정원,0,0,0,0
센소지 가미나리몬,0,0,0,0
도쿄 국립신미술관,0,0,0,0
시부야 스카이,0,0,0,0
야나카긴자,0,0,0,0
리쿠기엔,0,0,0,0
롯폰기 힐스,0,0,0,0
레인보우 브리지,0,0,0,0
나카미세도리,0,0,0,0
간다 신사 (간다 묘진),0,0,0,0
스미다 공원,0,0,0,0
오다이바 해변공원,0,0,0,0
모리 타워,0,0,0,0
도쿄역,0,0,0,0
도쿄돔,0,0,0,0
도쿄 돔 시티,0,0,0,0
호피 거리,0,0,0,0
아사쿠사 신사,0,0,0,0
도쿄도 현대미술관,0,0,0,0
긴자 식스,0,0,0,0
도쿄 대학,0,0,0,0
도쿄 빅사이트,0,0,0,0
도쿄 국립 박물관,0,0,0,0
조죠지,0,0,0,0
시바 공원,0,0,0,0
우에노 공원,0,0,0,0
Shibuya Scramble Crossing,0,0,0,0
신주쿠 교엔,0,0,0,0
도쿄 조이 폴리스,0,0,0,0
킷테 마루노우치,0,0,0,0
오모테산도 힐즈,0,0,0,0
네즈 미술관,0,0,0,0
아메요코 쇼핑가,0,0,0,0
모리 미술관,0,0,0,0
Tokyo Station Gallery,0,0,0,0
Street Kart Tokyo Bay,0,0,0,0
쓰키시마 몬자거리,0,0,0,0
사쿠라 포토 스튜디오,0,0,0,0
하네다국제공항,0,0,0,0
도쿄 소라마치,0,0,0,0
미쓰비시1호관미술관,0,0,0,0
도쿄도 미술관,0,0,0,0
다이마루 백화점 도쿄점,0,0,0,0
미타카의 숲 지브리 미술관,0,0,0,0
도쿄 국립 근대 미술관,0,0,0,0
빅카메라 유라쿠초점,0,0,0,0
네즈 신사,0,0,0,0
센가쿠 절,0,0,0,0
쓰키지 수산시장,0,0,0,0
스파 라쿠아,0,0,0,0
도쿄 미드타운,0,0,0,0
국립 서양 미술관,0,0,0,0
도호 시네마즈 신주쿠,0,0,0,0
신주쿠 골든 거리,0,0,0,0
하마리큐 은사정원,0,0,0,0
Shibuya Center-Street,0,0,0,0
시나가와 수족관,0,0,0,0
맥셀 아쿠아 파크 시나가와,0,0,0,0
오다이바 자유의 여신상,0,0,0,0
도쿄만 아쿠아라인 우미호타루,0,0,0,0
구 이와사키 저택 정원,0,0,0,0
