Name,star,num,type,address,image,Address,Local_Address,Internet_Address,Call_Number,Rating,Sun,Mon,Tues,Wedn,Thur,Fri,Sat,keyword,avgTime,lat,lng,exp,cluster
도쿄 타워,40.0,8273.0,건축물,"4 Chome-2-8 Shibakoen, Minato City, Tokyo 105-0011 일본",https://media-cdn.tripadvisor.com/media/photo-s/0a/2a/41/27/photo0jpg.jpg,"4 Chome-2-8 Shibakoen, Minato City, Tokyo 105-0011 일본",〒105-0011 東京都港区芝公園４丁目２−8,https://www.tokyotower.co.jp/,+81 3-3433-5111,4.4,오전 9:00~오후 10:30,오전 9:00~오후 10:30,오전 9:00~오후 10:30,오전 9:00~오후 10:30,오전 9:00~오후 10:30,오전 9:00~오후 10:30,오전 9:00~오후 10:30,"['카페', '무료', '야경', '체험', '공연', '공원', '기념품', '역사', '사진', '전망대', '쇼핑']",45.0,35.65863031,139.7454369,에펠탑을 연상시키는 이 랜드마크는 전망대와 다양한 어트랙션을 갖추고 있습니다.,11
메이지 신궁,45.0,8215.0,즐길거리 & 랜드마크,"1-1 Yoyogikamizonocho, Shibuya City, Tokyo 151-8557 일본",https://media-cdn.tripadvisor.com/media/photo-s/1a/30/73/a4/photo3jpg.jpg,"1-1 Yoyogikamizonocho, Shibuya City, Tokyo 151-8557 일본",〒151-8557 東京都渋谷区代々木神園町１−1,https://www.meijijingu.or.jp/,+81 3-337905511,4.6,오전 5:20~오후 5:20,오전 5:20~오후 5:20,오전 5:20~오후 5:20,오전 5:20~오후 5:20,오전 5:20~오후 5:20,오전 5:20~오후 5:20,오전 5:20~오후 5:20,"['카페', '무료', '신사', '사원', '산책', '공원', '전통', '기념품', '휴식', '역사', '사진', '쇼핑']",60.0,35.67714821,139.6990102,숲으로 둘러싸여 있는 이 신사에는 계절마다 변화하는 붓꽃 정원이 있습니다.,16
메이지 신궁 외원,40.0,717.0,즐길거리 & 랜드마크,"1-1 Kasumigaokamachi, Shinjuku City, Tokyo 160-0013 일본",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/5c/93/22/caption.jpg?w=1100&h=500&s=1,"1-1 Kasumigaokamachi, Shinjuku City, Tokyo 160-0013 일본",〒160-0013 東京都新宿区霞ヶ丘町１−1,http://www.meijijingugaien.jp/,+81 3-3401-0312,4.3,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['카페', '음식', '불꽃놀이', '음식점', '산책', '공원', '야구', '경기장', '휴식', '역사', '사진', '자전거', '옛날']",120.0,35.67738518,139.7169942,"실내 아이스 스케이트 링크, 골프 연습장, 야구장, 테니스장이 있는 유명한 공원입니다.",13
도쿄 스카이트리,40.0,8017.0,건축물,"1 Chome-1-2 Oshiage, Sumida City, Tokyo 131-0045 일본",https://media-cdn.tripadvisor.com/media/photo-s/17/32/e3/41/tokyo-skytree-tembo-galleria.jpg,"1 Chome-1-2 Oshiage, Sumida City, Tokyo 131-0045 일본",〒131-0045 東京都墨田区押上１丁目１−2,tokyo-skytree.jp,+81 570-550-634,4.4,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,"['카페', '무료', '야경', '음식점', '기념품', '사진', '쇼핑몰', '전망대', '쇼핑']",60.0,35.71033273,139.8107326,360도 전망을 자랑하는 전망대가 있는 세계에서 가장 높은 독립형 전파탑입니다.,14
도쿄 디즈니랜드,45.0,6948.0,놀이공원 & 테마파크 • 디즈니 파크 & 액티비티,"1-1 Maihama, Urayasu, Chiba 279-0031 일본",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/05/fa/7c/tokyodisneyland.jpg?w=1100&h=500&s=1,"1-1 Maihama, Urayasu, Chiba 279-0031 일본",〒279-0031 千葉県浦安市舞浜1-1,tokyodisneyresort.jp,+81 45-330-5211,4.6,오전 8:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,"['놀이기구', '음식', '불꽃놀이', '어트랙션', '공연', '어린이', '공원', '기념품', '퍼레이드', '사진', '성']",480.0,35.63307077,139.8804265,"놀이기구, 라이브쇼, 의상을 차려입은 캐릭터로 유명한 상징적인 도쿄 테마파크입니다.",0
센소지,45.0,9357.0,종교적인 장소,"2 Chome-3-1 Asakusa, Taito City, Tokyo 111-0032 일본",https://media-cdn.tripadvisor.com/media/photo-s/1a/3d/a5/07/caption.jpg,"2 Chome-3-1 Asakusa, Taito City, Tokyo 111-0032 일본",〒111-0032 東京都台東区浅草２丁目３−1,senso-ji.jp,+81 3-3842-0181,4.5,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,오전 6:30~오후 5:00,"['음식', '골목', '시장', '신사', '야경', '강', '사원', '무료', '체험', '산책', '먹거리', '기모노', '전통', '기념품', '역사', '사진', '절', '쇼핑']",60.0,35.71130632,139.7962929,도쿄에서 가장 오래되었으며 645년에 완공된 이 사원은 자비의 여신인 관음을 기리기 위해 세워졌습니다.,14
고쿄 히가시 교엔,40.0,2022.0,역사적인 장소 • 성 • 가든,"1-1 Chiyoda, Chiyoda City, Tokyo 100-8111 일본",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/6a/95/6a/caption.jpg?w=1100&h=500&s=1,"1-1 Chiyoda, Chiyoda City, Tokyo 100-8111 일본",〒100-8111 東京都千代田区千代田１−1,kunaicho.go.jp,+81 3-3213-2050,4.4,오전 9:00~오후 4:30,휴무일,오전 9:00~오후 4:30,오전 9:00~오후 4:30,오전 9:00~오후 4:30,휴무일,오전 9:00~오후 4:30,"['무료', '꽃', '산책', '공원', '휴식', '역사', '사진', '광장', '성']",180.0,35.68693051,139.7571123,1888년에 지은 궁궐 내에 위치한 넓은 조경 정원과 에도 시대 성 유적입니다.,1
도쿄 디즈니씨,45.0,6396.0,놀이공원 & 테마파크,"1-13 Maihama, Urayasu, Chiba 279-8511 일본",https://media-cdn.tripadvisor.com/media/photo-s/16/05/f9/9d/tokyo-disneysea.jpg,"1-13 Maihama, Urayasu, Chiba 279-8511 일본",〒279-8511 千葉県浦安市舞浜1-13,tokyodisneyresort.jp,+81 570-008-632,4.6,오전 9:00~오후 9:00,오전 9:00~오후 9:00,오전 9:00~오후 9:00,오전 9:00~오후 9:00,오전 9:00~오후 9:00,오전 9:00~오후 9:00,오전 9:00~오후 9:00,"['놀이기구', '음식', '불꽃놀이', '체험', '어트랙션', '공연', '어린이', '바다', '공원', '기념품', '사진', '퍼레이드', '배']",480.0,35.6270478,139.8853968,"디즈니 리조트의 일부인 이 대규모 놀이공원에는 놀이기구, 쇼, 식사를 즐길 수 있는 7개의 테마 구역이 있습니다.",0
도쿄도청 전망대,45.0,5449.0,즐길거리 & 랜드마크 • 전망대 & 타워 • 공공기관 건물,"일본 〒163-8001 Tokyo, Shinjuku City, Nishishinjuku, 2 Chome−8−1 東京都庁第一本庁舎 45F",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/4c/f6/cd/dsc-0470-largejpg.jpg?w=1100&h=400&s=1,"일본 〒163-8001 Tokyo, Shinjuku City, Nishishinjuku, 2 Chome−8−1 東京都庁第一本庁舎 45F",〒163-8001 東京都新宿区西新宿２丁目８−1 東京都庁第一本庁舎 45F,yokoso.metro.tokyo.lg.jp,+81 3-5320-7890,4.4,오전 9:00~오후 11:00,오전 9:00~오후 11:00,오전 9:00~오후 11:00,오전 9:00~오후 11:00,오전 9:00~오후 11:00,오전 9:00~오후 11:00,오전 9:00~오후 11:00,"['카페', '무료', '야경', '실내', '기념품', '사진', '전망대']",40.0,35.6898897,139.6917849,도쿄 도청사 꼭대기에 있는 공공 전망대로 기념품 상점이 있습니다.,16
에도도쿄건축정원,,,즐길거리 & 랜드마크,"3 Chome-7-1 Sakuracho, Koganei, Tokyo 184-0005 일본",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAzMzBfMjk0%2FMDAxNjgwMTY0MDU2NTg2.2ctAn-xSMcElhMCw24rnZhTtzgkbN3FHvxKBqSa7T9Qg.rC2n_iUAEg9pi7wh4Ck_mHC7aI9FK4xedJueaOPYuqog.JPEG.ds5dkm%2F20230328_121649.jpg&type=sc960_832,"3 Chome-7-1 Sakuracho, Koganei, Tokyo 184-0005 일본",〒184-0005 東京都小金井市桜町３丁目７−1,tatemonoen.jp,+81 42-388-3300,4.4,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,오전 9:30~오후 5:30,"['카페', '박물관', '야외', '무료', '체험', '산책', '공원', '실내', '역사', '사진', '옛날', '목욕탕']",100.0,35.71565057,139.512597,"다양한 역사 시대에 걸친 여러 일본 건축물을 볼 수 있는 야외 박물관으로, 카페도 이용할 수 있습니다.",5
