Name,star,num,type,image,Address,Local_Address,Internet_Address,Call_Number,Rating,Sun,Mon,Tues,Wedn,Thur,Fri,Sat,keyword,lat,lng,cluster,avgTime,exp,isspa
간사이 공항,40.0,44.0,관광센터,https://media-cdn.tripadvisor.com/media/photo-s/15/4b/d3/79/outlook.jpg,일본 〒549-0011 오사카부 Sennan District 다지리조 센슈쿠코나카,〒549-0011 大阪府泉南郡田尻町泉州空港中,,,4.2,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,,34.4324852330391,135.23074371347,Nan,0,오사카부에 있는 공항으로 인공 섬에 위치해 있으며 철도와 인근 호텔이 있습니다.,0
교세라 돔 오사카,40.0,323.0,스포츠 컴플렉스,https://upload.wikimedia.org/wikipedia/commons/f/f2/Kyocera_Dome_Osaka_%2815984073809%29.jpg,3 Chome-中２−１ Chiyozaki Nishi Ward Osaka 550-0023 일본,〒550-0023 大阪府大阪市西区千代崎３丁目中２−１,http://www.kyoceradome-osaka.jp/,+81 6-6586-0106,4.1,오전 11:00~오후 7:00,휴무일,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 11:00~오후 7:00,"['음식', '경기장', '음식점', '쇼핑', '게임', '야구', '콘서트', '사진', '옛날']",34.6694504105225,135.476111461007,14,120,"미래 지향적인 디자인으로 명소가 된 51,000명 규모의 야구장 겸 공연장으로 1997년에 개장했습니다.",0
구로몬시장,40.0,3234.0,즐길거리 & 랜드마크,"https://media.triple.guide/triple-cms/c_limit,f_auto,h_1280,w_1280/4fd4e49e-18fa-49ff-8005-5eff6357429b.jpeg",2 Chome Nipponbashi Chuo Ward Osaka 542-0073 일본,〒542-0073 大阪府大阪市中央区日本橋２丁目,kuromon.com,없음,4.1,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,오전 9:00~오후 6:00,"['배', '음식', '쇼핑', '백화점', '기념품', '사진', '드럭스토어', '시장', '먹거리', '골목', '전통']",34.6655233629621,135.506204590244,3,30,"길거리 음식, 신선한 농산물, 갑각류, 기념품을 판매하는 드넓은 시장입니다.",0
국립국제미술관,35.0,200.0,즐길거리 & 랜드마크,https://mediaim.expedia.com/destination/3/b4ea136ba74f8c28ffd1e684d83a1edb.jpg,4 Chome-2-55 Nakanoshima Kita Ward Osaka 530-0005 일본,〒530-0005 大阪府大阪市北区中之島４丁目２−55,https://www.nmao.go.jp/,+81 6-6447-4680,4.1,오전 10:00~오후 5:00,휴무일,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,"['카페', '그림', '전시회', '작품', '사진', '과학관', '박물관', '무료']",34.6919962378332,135.492037186506,0,90,기념품 상점이 딸린 지하 미술관으로 유명 작가들의 작품을 다양한 방식으로 전시합니다.,0
국립문락극장,45.0,164.0,시어터,https://ak-d.tripcdn.com/images/100r180000014bgk0BA91_Z_760_506_Q70.jpg?proc=source%2ftrip&proc=source%2ftrip,1 Chome-12-10 Nipponbashi Chuo Ward Osaka 542-0073 일본,〒542-0073 大阪府大阪市中央区日本橋１丁目１２−10,http://www.ntj.jac.go.jp/bunraku.html,+81 6-6212-2531,4.1,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,홈페이지 참조,"['무료', '극장', '체험', '인형', '꽃', '전통', '음식', '사진', '역사', '공연', '박물관', '옛날']",34.6674888795058,135.508730854192,3,150,편안한 좌석이 마련된 대형 극장으로 일본 전통극을 선보입니다.,0
그랜드 프론트 오사카,40.0,530.0,쇼핑몰,https://media-cdn.tripadvisor.com/media/photo-s/08/29/21/89/caption.jpg,4-20 Ofukacho Kita Ward Osaka 530-0011 일본,〒530-0011 大阪府大阪市北区大深町４−20,http://www.grandfront-osaka.jp/,+81 6-6372-6300,4.0,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,"['카페', '산책', '체험', '음식', '쇼핑몰', '음식점', '백화점', '야경', '광장', '휴식', '사진', '쇼핑', '옷', '무료']",34.7040422381707,135.494877981182,0,180,"서일본 최대의 터미널 오사카 우메다역 앞의 이곳은 패셥, 잡화, 라이프스타일, 뷰티, 카페, 레스토랑 등 약 270개의 점포를 갖춘 쇼핑타운입니다.",0
기시와다성,40.0,113.0,성,https://place.matcha-jp.com/resize/1280x2000/2023/03/06-17-00-39-123e7f5b2320c5986b6a4f600cec6bf88f.webp?w=656,9-1 Kishikicho Kishiwada Osaka 596-0073 일본,〒596-0073 大阪府岸和田市岸城町９−1,http://www.city.kishiwada.osaka.jp/soshiki/36/kishiwadajyo.html,+81 72-431-3251,4.0,오전 10:00~오후 8:30,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 5:00,오전 10:00~오후 8:30,오전 10:00~오후 8:30,"['무료', '산책', '공원', '성', '신사', '역사', '사진', '산', '전망대', '박물관', '옛날']",34.4587983414231,135.370782878257,6,60,"기시와다성과 성을 둘러싼 고풍스러운 거리는 일본의 옛 모습을 엿보기에 좋은 곳입니다. 1300년대 처음 축성된 기시와다성은 유명한 [히코네성]과 유사한 구조를 갖고 있으며, 일본 조경의 대가 시게모리 미레이가 설계한 정갈한 정원이 성 바로 앞에 자리하고 있습니다.",0
나가이 얀마스타디움,40.0,104.0,스포츠 컴플렉스,https://i.namu.wiki/i/iacakovPi6V3JdbQL7LlSgsTWMWeik-mMVbl5FlyvJ1B4KHzKSrEyJQZD-ab0KGzPIwyTFDBY1LZIP5C3k0O0qvZ4z2FOo2GWovyDcIGpi-ftrIww2yf1RjYuKaGF_p3VS1PTnD3PcgH2o23z-hgpg.webp,1-1 Nagaikoen Higashisumiyoshi Ward Osaka 546-0034 일본,〒546-0034 大阪府大阪市東住吉区長居公園１−1,https://www.nagaipark.com/stadium/,+81 6-6691-2500,4.0,오전 9:00~오후 9:00,휴무일,오전 9:00~오후 9:00,오전 9:00~오후 9:00,오전 9:00~오후 9:00,오전 9:00~오후 9:00,오전 9:00~오후 9:00,"['축구', '산책', '공원', '식물원', '음식', '경기장', '게임', '콘서트']",34.6142695783221,135.518547771662,2,120,얀마 스타디움 나가이(일본어: ヤンマースタジアム長居)는 일본 오사카부 오사카시 히가시스미요시구 나가이 공원 1-1 에 있는 축구·육상 겸용 경기장이다.,0
나카노시마 장미 정원,40.0,543.0,공원,https://media-cdn.tripadvisor.com/media/photo-s/16/4b/60/8c/caption.jpg,1 Chome-1 Nakanoshima Kita Ward Osaka 530-0005 일본,〒530-0005 大阪府大阪市北区中之島１丁目１,https://city-osaka.net/nakanoshimakoen/,+81 6-6312-8121,4.1,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,24시간 영업,"['카페', '산책', '공원', '꽃', '음식점', '강', '광장', '휴식', '사진', '역사', '무료']",34.6919600956099,135.509790138852,13,150,"1891년에 조성한 오사카 최초의 공원으로, 도서관, 장미 정원, 도자기 박물관이 있습니다.",0
난바 시티 본관,40.0,131.0,쇼핑몰,https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2Ftistory%2F995DF53C5BAAD2C715,5 Chome-1-60 Nanba Chuo Ward Osaka 542-0076 일본,〒542-0076 大阪府大阪市中央区難波５丁目１−60,https://nambacity.com/,+81 6-6644-2960,3.9,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,"['산책', '음식', '쇼핑몰', '음식점', '백화점', '광장', '쇼핑', '옷', '먹거리', '옛날']",34.6641892379215,135.501534025356,3,120,도심에 자리한 지하 쇼핑몰로 레스토랑과 기도실이 있습니다.,0
